Number;Type;Score;Turns;HasWon;Runtime
1;AI;20464;977;true;132565
2;RND;1408;170;false;396
3;AI;20192;945;true;135945
4;RND;1124;136;false;335
5;AI;20496;980;true;139067
6;RND;1524;196;false;468
7;AI;16540;986;false;140149
8;RND;1356;167;false;397
9;AI;20284;960;true;130791
10;RND;872;116;false;140
11;AI;20280;974;true;128564
12;RND;1128;138;false;178
13;AI;21068;1027;true;140823
14;RND;1232;143;false;188
15;AI;20232;948;true;135564
16;RND;664;93;false;115
17;AI;7324;508;false;72157
18;RND;704;108;false;80
19;AI;20256;955;true;133280
20;RND;1120;142;false;119
21;AI;20644;999;true;136970
22;RND;2100;196;false;171
23;AI;20180;950;true;133664
24;RND;640;107;false;88
25;AI;20272;953;true;131303
26;RND;432;89;false;86
27;AI;12192;728;false;101376
28;RND;560;93;false;51
29;AI;20272;957;true;131196
30;RND;884;129;false;78
31;AI;20644;1006;true;134826
32;RND;1108;135;false;105
33;AI;20156;946;true;132852
34;RND;732;117;false;72
35;AI;16976;1026;false;139878
36;RND;980;147;false;74
37;AI;16520;988;false;131354
38;RND;1316;167;false;80
39;AI;20276;971;true;139222
40;RND;240;54;false;59
41;AI;20460;967;true;128775
42;RND;564;101;false;44
43;AI;20232;952;true;133828
44;RND;1888;214;false;145
45;AI;20236;947;true;130308
46;RND;972;141;false;71
47;AI;20640;999;true;137916
48;RND;712;121;false;62
49;AI;16160;946;false;132468
50;RND;1336;158;false;77
51;AI;20444;972;true;133235
52;RND;344;73;false;26
53;AI;20308;969;true;136855
54;RND;632;94;false;35
55;AI;20484;981;true;139700
56;RND;1336;156;false;55
57;AI;5392;380;false;54563
58;RND;524;97;false;56
59;AI;21176;1042;true;141383
60;RND;1044;132;false;64
61;AI;20328;969;true;135733
62;RND;716;114;false;42
63;AI;20476;971;true;139125
64;RND;656;100;false;38
65;AI;20584;991;true;136133
66;RND;2384;241;false;74
67;AI;16176;955;false;132966
68;RND;1032;126;false;32
69;AI;16208;959;false;130408
70;RND;1248;173;false;48
71;AI;20260;957;true;132593
72;RND;1232;147;false;77
73;AI;16472;981;false;136755
74;RND;460;81;false;27
75;AI;20292;960;true;139729
76;RND;1404;165;false;40
77;AI;20184;939;true;132066
78;RND;676;112;false;50
79;AI;20260;965;true;136978
80;RND;1340;166;false;50
