Date: Fri Apr 25 2014 07:07:13 GMT+0200 (CEST) ;Type: AI ;Guid: 8a061147-4da1-4c3e-af77-20bb09b35b0e ;Run: 0 ;Score: 20464 ;Turns: 977 ;WonStatus: true ;TimeTaken: 132565
Date: Fri Apr 25 2014 07:07:14 GMT+0200 (CEST) ;Type: RND ;Guid: 2bd5cde9-e4ce-4dd5-8cd7-ba55539e5bf2 ;Run: 1 ;Score: 1408 ;Turns: 170 ;WonStatus: false ;TimeTaken: 396
Date: Fri Apr 25 2014 07:07:18 GMT+0200 (CEST) ;Type: AI ;Guid: e578e623-c6ef-4f1a-aa68-cb02412a9d15 ;Run: 0 ;Score: 20192 ;Turns: 945 ;WonStatus: true ;TimeTaken: 135945
Date: Fri Apr 25 2014 07:07:19 GMT+0200 (CEST) ;Type: RND ;Guid: a69aa656-38c6-4a0c-b8df-df1808b273c9 ;Run: 1 ;Score: 1124 ;Turns: 136 ;WonStatus: false ;TimeTaken: 335
Date: Fri Apr 25 2014 07:07:21 GMT+0200 (CEST) ;Type: AI ;Guid: a6b24b53-f5c3-4da1-b98b-7f35d96a7476 ;Run: 0 ;Score: 20496 ;Turns: 980 ;WonStatus: true ;TimeTaken: 139067
Date: Fri Apr 25 2014 07:07:21 GMT+0200 (CEST) ;Type: RND ;Guid: 1c7270cb-e356-412c-a31e-8c93dcb9d424 ;Run: 1 ;Score: 1524 ;Turns: 196 ;WonStatus: false ;TimeTaken: 468
Date: Fri Apr 25 2014 07:07:23 GMT+0200 (CEST) ;Type: AI ;Guid: 48d6e5b4-8b5a-42fb-b3c8-cc015547dacc ;Run: 0 ;Score: 16540 ;Turns: 986 ;WonStatus: false ;TimeTaken: 140149
Date: Fri Apr 25 2014 07:07:23 GMT+0200 (CEST) ;Type: RND ;Guid: d555448b-d48a-40ec-8851-89ee4c91ab12 ;Run: 1 ;Score: 1356 ;Turns: 167 ;WonStatus: false ;TimeTaken: 397
Date: Fri Apr 25 2014 07:09:29 GMT+0200 (CEST) ;Type: AI ;Guid: 653210a5-c1f4-4f8d-99d5-6071a69e8f32 ;Run: 2 ;Score: 20284 ;Turns: 960 ;WonStatus: true ;TimeTaken: 130791
Date: Fri Apr 25 2014 07:09:29 GMT+0200 (CEST) ;Type: RND ;Guid: 2699b154-aa13-42ae-81bd-66a8b8b9b646 ;Run: 3 ;Score: 872 ;Turns: 116 ;WonStatus: false ;TimeTaken: 140
Date: Fri Apr 25 2014 07:09:32 GMT+0200 (CEST) ;Type: AI ;Guid: 4e31ec42-b5be-425a-b062-724939bed4c4 ;Run: 2 ;Score: 20280 ;Turns: 974 ;WonStatus: true ;TimeTaken: 128564
